------------------------------------------------------------------------------------------------------------------------------------------
Epoch:258/500, avg validating MSE: 0.000000
Epoch:259/500, avg validating MSE: 0.000000
Epoch:260/500, avg validating MSE: 0.000000
Epoch:261/500, avg validating MSE: 0.000000
Epoch:262/500, avg validating MSE: 0.000000
Epoch:263/500, avg validating MSE: 0.000000
Epoch:264/500, avg validating MSE: 0.000000
Epoch:265/500, avg validating MSE: 0.000000
Epoch:266/500, avg validating MSE: 0.000000
Epoch:267/500, avg validating MSE: 0.000000
Epoch:268/500, avg validating MSE: 0.000000
Epoch:269/500, avg validating MSE: 0.000000
Epoch:270/500, avg validating MSE: 0.000000
Epoch:271/500, avg validating MSE: 0.000000
Epoch:272/500, avg validating MSE: 0.000000
Epoch:273/500, avg validating MSE: 0.000000
Epoch:274/500, avg validating MSE: 0.000000
Epoch:275/500, avg validating MSE: 0.000000
Epoch:276/500, avg validating MSE: 0.000000
Epoch:277/500, avg validating MSE: 0.000000
Epoch:278/500, avg validating MSE: 0.000000
Epoch:279/500, avg validating MSE: 0.000000
Epoch:280/500, avg validating MSE: 0.000000
Epoch:281/500, avg validating MSE: 0.000000
Epoch:282/500, avg validating MSE: 0.000000
Epoch:283/500, avg validating MSE: 0.000000
Epoch:284/500, avg validating MSE: 0.000000
Epoch:285/500, avg validating MSE: 0.000000
Epoch:286/500, avg validating MSE: 0.000000
Epoch:287/500, avg validating MSE: 0.000000
Epoch:288/500, avg validating MSE: 0.000000
Epoch:289/500, avg validating MSE: 0.000000
Epoch:290/500, avg validating MSE: 0.000000
Epoch:291/500, avg validating MSE: 0.000000
Epoch:292/500, avg validating MSE: 0.000000
Epoch:293/500, avg validating MSE: 0.000000
Epoch:294/500, avg validating MSE: 0.000000
Epoch:295/500, avg validating MSE: 0.000000
Epoch:296/500, avg validating MSE: 0.000000
Epoch:297/500, avg validating MSE: 0.000000
Epoch:298/500, avg validating MSE: 0.000000
Epoch:299/500, avg validating MSE: 0.000000
Epoch:300/500, avg validating MSE: 0.000000
Epoch:301/500, avg validating MSE: 0.000000
Epoch:302/500, avg validating MSE: 0.000000
Epoch:303/500, avg validating MSE: 0.000000
Epoch:304/500, avg validating MSE: 0.000000
Epoch:305/500, avg validating MSE: 0.000000
Epoch:306/500, avg validating MSE: 0.000000
Epoch:307/500, avg validating MSE: 0.000000
Epoch:308/500, avg validating MSE: 0.000000
Epoch:309/500, avg validating MSE: 0.000000
Epoch:310/500, avg validating MSE: 0.000000
Epoch:311/500, avg validating MSE: 0.000000
Epoch:312/500, avg validating MSE: 0.000000
Epoch:313/500, avg validating MSE: 0.000000
Epoch:314/500, avg validating MSE: 0.000000
Epoch:315/500, avg validating MSE: 0.000000
Epoch:316/500, avg validating MSE: 0.000000
Epoch:317/500, avg validating MSE: 0.000000
Epoch:318/500, avg validating MSE: 0.000000
Epoch:319/500, avg validating MSE: 0.000000
Epoch:320/500, avg validating MSE: 0.000000
Epoch:321/500, avg validating MSE: 0.000000
Epoch:322/500, avg validating MSE: 0.000000
Epoch:323/500, avg validating MSE: 0.000000
Epoch:324/500, avg validating MSE: 0.000000
Epoch:325/500, avg validating MSE: 0.000000
Epoch:326/500, avg validating MSE: 0.000000
Epoch:327/500, avg validating MSE: 0.000000
Epoch:328/500, avg validating MSE: 0.000000
Epoch:329/500, avg validating MSE: 0.000000
Epoch:330/500, avg validating MSE: 0.000000
Epoch:331/500, avg validating MSE: 0.000000
Epoch:332/500, avg validating MSE: 0.000000
Epoch:333/500, avg validating MSE: 0.000000
Epoch:334/500, avg validating MSE: 0.000000
Epoch:335/500, avg validating MSE: 0.000000
Epoch:336/500, avg validating MSE: 0.000000
Epoch:337/500, avg validating MSE: 0.000000
Epoch:338/500, avg validating MSE: 0.000000
Epoch:339/500, avg validating MSE: 0.000000
Epoch:340/500, avg validating MSE: 0.000000
Epoch:341/500, avg validating MSE: 0.000000
Epoch:342/500, avg validating MSE: 0.000000
Epoch:343/500, avg validating MSE: 0.000000
Epoch:344/500, avg validating MSE: 0.000000
Epoch:345/500, avg validating MSE: 0.000000
Epoch:346/500, avg validating MSE: 0.000000
Epoch:347/500, avg validating MSE: 0.000000
Epoch:348/500, avg validating MSE: 0.000000
Epoch:349/500, avg validating MSE: 0.000000
Epoch:350/500, avg validating MSE: 0.000000
Epoch:351/500, avg validating MSE: 0.000000
Epoch:352/500, avg validating MSE: 0.000000
Epoch:353/500, avg validating MSE: 0.000000
Epoch:354/500, avg validating MSE: 0.000000
Epoch:355/500, avg validating MSE: 0.000000
Epoch:356/500, avg validating MSE: 0.000000
Epoch:357/500, avg validating MSE: 0.000000
Epoch:358/500, avg validating MSE: 0.000000
Epoch:359/500, avg validating MSE: 0.000000
Epoch:360/500, avg validating MSE: 0.000000
Epoch:361/500, avg validating MSE: 0.000000
Epoch:362/500, avg validating MSE: 0.000000
Epoch:363/500, avg validating MSE: 0.000000
Epoch:364/500, avg validating MSE: 0.000000
Epoch:365/500, avg validating MSE: 0.000000
Epoch:366/500, avg validating MSE: 0.000000
Epoch:367/500, avg validating MSE: 0.000000
Epoch:368/500, avg validating MSE: 0.000000
Epoch:369/500, avg validating MSE: 0.000000
Epoch:370/500, avg validating MSE: 0.000000
Epoch:371/500, avg validating MSE: 0.000000
Epoch:372/500, avg validating MSE: 0.000000
Epoch:373/500, avg validating MSE: 0.000000
Epoch:374/500, avg validating MSE: 0.000000
Epoch:375/500, avg validating MSE: 0.000000
Epoch:376/500, avg validating MSE: 0.000000
Epoch:377/500, avg validating MSE: 0.000000
Epoch:378/500, avg validating MSE: 0.000000
Epoch:379/500, avg validating MSE: 0.000000
Epoch:380/500, avg validating MSE: 0.000000
Epoch:381/500, avg validating MSE: 0.000000
Epoch:382/500, avg validating MSE: 0.000000
Epoch:383/500, avg validating MSE: 0.000000
Epoch:384/500, avg validating MSE: 0.000000
Epoch:385/500, avg validating MSE: 0.000000
Epoch:386/500, avg validating MSE: 0.000000
Epoch:387/500, avg validating MSE: 0.000000
Epoch:388/500, avg validating MSE: 0.000000
Epoch:389/500, avg validating MSE: 0.000000
Epoch:390/500, avg validating MSE: 0.000000
Epoch:391/500, avg validating MSE: 0.000000
Epoch:392/500, avg validating MSE: 0.000000
Epoch:393/500, avg validating MSE: 0.000000
Epoch:394/500, avg validating MSE: 0.000000
Epoch:395/500, avg validating MSE: 0.000000
Epoch:396/500, avg validating MSE: 0.000000
Epoch:397/500, avg validating MSE: 0.000000
Epoch:398/500, avg validating MSE: 0.000000
Epoch:399/500, avg validating MSE: 0.000000
Epoch:400/500, avg validating MSE: 0.000000
Epoch:401/500, avg validating MSE: 0.000000
Epoch:402/500, avg validating MSE: 0.000000
Epoch:403/500, avg validating MSE: 0.000000
Epoch:404/500, avg validating MSE: 0.000000
Epoch:405/500, avg validating MSE: 0.000000
Epoch:406/500, avg validating MSE: 0.000000
Epoch:407/500, avg validating MSE: 0.000000
Epoch:408/500, avg validating MSE: 0.000000
Epoch:409/500, avg validating MSE: 0.000000
Epoch:410/500, avg validating MSE: 0.000000
Epoch:411/500, avg validating MSE: 0.000000
Epoch:412/500, avg validating MSE: 0.000000
Epoch:413/500, avg validating MSE: 0.000000
Epoch:414/500, avg validating MSE: 0.000000
Epoch:415/500, avg validating MSE: 0.000000
Epoch:416/500, avg validating MSE: 0.000000
Epoch:417/500, avg validating MSE: 0.000000
Epoch:418/500, avg validating MSE: 0.000000
Epoch:419/500, avg validating MSE: 0.000000
Epoch:420/500, avg validating MSE: 0.000000
Epoch:421/500, avg validating MSE: 0.000000
Epoch:422/500, avg validating MSE: 0.000000
Epoch:423/500, avg validating MSE: 0.000000
Epoch:424/500, avg validating MSE: 0.000000
Epoch:425/500, avg validating MSE: 0.000000
Epoch:426/500, avg validating MSE: 0.000000
Epoch:427/500, avg validating MSE: 0.000000
Epoch:428/500, avg validating MSE: 0.000000
Epoch:429/500, avg validating MSE: 0.000000
Epoch:430/500, avg validating MSE: 0.000000
Epoch:431/500, avg validating MSE: 0.000000
Epoch:432/500, avg validating MSE: 0.000000
Epoch:433/500, avg validating MSE: 0.000000
Epoch:434/500, avg validating MSE: 0.000000
Epoch:435/500, avg validating MSE: 0.000000
Epoch:436/500, avg validating MSE: 0.000000
Epoch:437/500, avg validating MSE: 0.000000
Epoch:438/500, avg validating MSE: 0.000000
Epoch:439/500, avg validating MSE: 0.000000
Epoch:440/500, avg validating MSE: 0.000000
Epoch:441/500, avg validating MSE: 0.000000
Epoch:442/500, avg validating MSE: 0.000000
Epoch:443/500, avg validating MSE: 0.000000
Epoch:444/500, avg validating MSE: 0.000000
Epoch:445/500, avg validating MSE: 0.000000
Epoch:446/500, avg validating MSE: 0.000000
Epoch:447/500, avg validating MSE: 0.000000
Epoch:448/500, avg validating MSE: 0.000000
Epoch:449/500, avg validating MSE: 0.000000
Epoch:450/500, avg validating MSE: 0.000000
Epoch:451/500, avg validating MSE: 0.000000
Epoch:452/500, avg validating MSE: 0.000000
Epoch:453/500, avg validating MSE: 0.000000
Epoch:454/500, avg validating MSE: 0.000000
Epoch:455/500, avg validating MSE: 0.000000
Epoch:456/500, avg validating MSE: 0.000000
Epoch:457/500, avg validating MSE: 0.000000
Epoch:458/500, avg validating MSE: 0.000000
Epoch:459/500, avg validating MSE: 0.000000
Epoch:460/500, avg validating MSE: 0.000000
Epoch:461/500, avg validating MSE: 0.000000
Epoch:462/500, avg validating MSE: 0.000000
Epoch:463/500, avg validating MSE: 0.000000
Epoch:464/500, avg validating MSE: 0.000000
Epoch:465/500, avg validating MSE: 0.000000
Epoch:466/500, avg validating MSE: 0.000000
Epoch:467/500, avg validating MSE: 0.000000
Epoch:468/500, avg validating MSE: 0.000000
Epoch:469/500, avg validating MSE: 0.000000
Epoch:470/500, avg validating MSE: 0.000000
Epoch:471/500, avg validating MSE: 0.000000
Epoch:472/500, avg validating MSE: 0.000000
Epoch:473/500, avg validating MSE: 0.000000
Epoch:474/500, avg validating MSE: 0.000000
Epoch:475/500, avg validating MSE: 0.000000
Epoch:476/500, avg validating MSE: 0.000000
Epoch:477/500, avg validating MSE: 0.000000
Epoch:478/500, avg validating MSE: 0.000000
Epoch:479/500, avg validating MSE: 0.000000
Epoch:480/500, avg validating MSE: 0.000000
Epoch:481/500, avg validating MSE: 0.000000
Epoch:482/500, avg validating MSE: 0.000000
Epoch:483/500, avg validating MSE: 0.000000
Epoch:484/500, avg validating MSE: 0.000000
Epoch:485/500, avg validating MSE: 0.000000
Epoch:486/500, avg validating MSE: 0.000000
Epoch:487/500, avg validating MSE: 0.000000
Epoch:488/500, avg validating MSE: 0.000000
Epoch:489/500, avg validating MSE: 0.000000
Epoch:490/500, avg validating MSE: 0.000000
Epoch:491/500, avg validating MSE: 0.000000
Epoch:492/500, avg validating MSE: 0.000000
Epoch:493/500, avg validating MSE: 0.000000
Epoch:494/500, avg validating MSE: 0.000000
Epoch:495/500, avg validating MSE: 0.000000
Epoch:496/500, avg validating MSE: 0.000000
Epoch:497/500, avg validating MSE: 0.000000
Epoch:498/500, avg validating MSE: 0.000000
Epoch:499/500, avg validating MSE: 0.000000
Epoch:500/500, avg validating MSE: 0.000000
